OBJECTID;ZONE_ID;ZONE_TYPE;NAAM;OMSCHRIJVING;GEOGRAPHY_ID;GEOGRAPHY_TYPE;STARTDATUM;PUBLICATIEDATUM;EINDDATUM;CAPACITEIT_AUTO;CAPACITEIT_SCOOTER;CAPACITEIT_BAKFIETS;CAPACITEIT_FIETS;CAPACITEIT_MIX;geo_shape;geo_point_2d
2565;53474;Digitale Hub;Grote Berg;11.112.2.1026: 35 Kleine/Grote Berg;c102518a-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.474554993039858, 51.435459011069405], ""type"": ""Point""}";51.435459011069405, 5.474554993039858
2571;53482;Digitale Hub;Catharinakerk;11.111.2.1034: 45 Begijnenhof;d1333344-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.48011699375023, 51.436372010902836], ""type"": ""Point""}";51.436372010902836, 5.48011699375023
2582;53496;Digitale Hub;Philips Museum;11.113.2.1048: 57b Emmasingel;f494b22c-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.4748824933697495, 51.43942601116824], ""type"": ""Point""}";51.43942601116824, 5.4748824933697495
2583;53473;Digitale Hub;St Catharinastraat;11.112.2.1025: 34 Willem de Zwijgerstraat;bf3f835e-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.473014993087918, 51.43554851178812], ""type"": ""Point""}";51.43554851178812, 5.473014993087918
2586;53499;Digitale Hub;Neckerspoel;11.111.2.1049: 9 Station noordzijde (alleen deelfietsen);fb849e62-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;0;0;0;20;;"{""coordinates"": [5.478054493579752, 51.44316701107474], ""type"": ""Point""}";51.44316701107474, 5.478054493579752
2587;53450;Digitale Hub;Kennedyplein;11.111.2.1002: 11 Kennedyplein (alleen deelfietsen);78e8bbdc-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T14:00:00Z;2024-07-23T14:00:00Z;;0;0;0;15;;"{""coordinates"": [5.480920992914085, 51.444623510645044], ""type"": ""Point""}";51.444623510645044, 5.480920992914085
2588;53452;Digitale Hub;Raiffeisenstraat;11.111.2.1004: 16a Raiffeisenstraat;8803229c-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;4;0;4;;"{""coordinates"": [5.481184494487852, 51.44026651165737], ""type"": ""Point""}";51.44026651165737, 5.481184494487852
2589;53456;Digitale Hub;Groene Toren;11.111.2.1008: 17b Vestdijk;99f53fe4-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;4;0;4;;"{""coordinates"": [5.480297994942638, 51.44017801138807], ""type"": ""Point""}";51.44017801138807, 5.480297994942638
2575;53485;Digitale Hub;Designhuis;11.111.2.1037: 49 Oude Stadsgracht;d8bd087e-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.481636994725109, 51.43556651074969], ""type"": ""Point""}";51.43556651074969, 5.481636994725109
2577;53492;Digitale Hub;Kanaalstraat;11.111.2.1044: 55a Kanaalstraat;eb50e6cc-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.4843929942522704, 51.43781801074784], ""type"": ""Point""}";51.43781801074784, 5.4843929942522704
