driver_id,model,ac_kW,annual_km,annual_kWh,sessions,location,plugin_hour,window_h,has_solar,pv_kwp,cost_fix,cost_unc,cost_po,cost_sm,cost_sm_ext,peak_kwh_unc,peak_kwh_sm,peak_kwh_sm_ext,sc_kwh_total,solar_value_total,ere_revenue_ext,ere_revenue_grid_only,value_baseline_smart,value_extended
21,Tesla Model 3,11.0,10287.262726759722,1203.6097390308873,40,private,18,12,False,0.0,417.3385942944058,364.90231848934894,290.58867886107487,293.1757030818142,293.1757030818142,1308.2714554683564,1.1850472562741123,1.1850472562741123,0.0,0.0,107.07249964697499,98.50669967521696,222.66959088780857,231.2353908595666
22,MG4 Electric,11.0,9892.689552393027,1406.7404543502885,40,private,18,14,True,6.92682281084111,487.77196188885,468.4993849565782,359.4248949995116,363.55139307247015,358.05380697198916,1529.065711250314,8.15217391304348,41.32239372697267,27.032400887531857,6.73106782099543,127.31149830218513,115.13147074502528,239.35203956140515,263.76072104004135
23,Audi Q4 e-tron,11.0,12856.5167846292,1914.335349231288,42,private,13,15,False,0.0,663.7749743530227,484.8598334577733,427.15959006965954,445.01520111955034,445.01520111955034,232.79929264270456,66.10614381276275,66.10614381276275,0.0,0.0,170.298282207152,156.67441963057996,375.4341928640523,389.05805544062434
24,Renault Megane E-Tech,22.0,14189.611178376565,1891.475170077596,53,private,21,12,False,0.0,655.8484557116883,517.6658498589665,435.201033480021,438.62675039805265,438.62675039805265,1166.0,2.445652173913044,2.445652173913044,0.0,0.0,168.26465249729765,154.80348029751377,372.0251856111494,385.4863578109333
25,Volvo EX30,11.0,14879.670419574786,2001.3156714328088,53,public,9,6,True,2.0249248264723647,693.9344556381152,467.7294281526468,436.47823727830684,446.72906007475666,407.0965479772719,0.0,0.0,0.0,194.33507490534674,48.38943365143136,193.62596981585943,163.7931261339501,410.99852169730866,528.8533111281341
26,Kia EV3,11.0,13829.429238597932,1851.760575048263,40,private,21,12,False,0.0,642.0778515656474,496.7572360721405,454.39992161847124,461.8399505364297,461.8399505364297,440.0,8.743493887181062,8.743493887181062,0.0,0.0,164.73166267147428,151.5531296577563,331.791030686974,344.969563700692
27,Tesla Model Y,11.0,10709.682142229898,1764.9556170394872,40,public,19,6,False,0.0,611.9791759082573,513.939301440225,481.03503175539964,484.5444239438558,484.5444239438558,1320.0,644.7983626430321,644.7983626430321,0.0,0.0,157.0095385191441,144.44877543761248,271.88352740201395,284.44429048354556
28,Tesla Model Y,11.0,11722.457157027691,1931.8609394781636,43,private,15,15,True,3.8985966324083288,669.8517822755803,571.8854403090425,463.36755305195,479.55044712097134,456.08909830611645,1153.8488472588729,16.768476730995033,61.96627833995895,108.66349185180391,27.057209471099185,180.57456054968696,158.1087616760921,348.41009683070104,421.39445399025
29,Hyundai Kona Electric,11.0,12629.342089207494,1572.353090106333,41,public,8,3,False,0.0,427.29093000000034,333.598231659,333.1763831880001,333.368027349261,333.368027349261,0.0,0.0,0.0,0.0,0.0,109.62587351628005,128.68565998411978,222.6085626348591,203.54877616701938
30,Skoda Enyaq,11.0,11215.379708965822,1586.976228818664,40,private,16,14,False,0.0,550.2667576012543,514.0869547168589,402.1922343186697,408.6052275833056,408.6052275833056,1284.9741617594182,4.076086956521739,4.076086956521739,0.0,0.0,141.1765842280074,129.88245748976678,271.54398750771554,282.83811424595615
