driver,annual_kWh,sessions,cost_unc,cost_po,cost_smart,peak_unc,peak_po,peak_smart,savings_po_eur,savings_smart_eur,savings_po_pct,savings_smart_pct,peak_drop_smart_pct
12,2996.7369156608415,132,1001.71522049007,734.3911916435299,775.9381159678431,11.0,0.20722253608975646,0.06470402811355432,267.32402884654016,225.77710452222686,26.686629431042984,22.53905101010342,99.41178156260405
13,3522.8478826965493,116,1135.7305510511658,880.6083890962166,909.8642313515429,11.0,0.28474639146668423,0.2598155284523308,255.1221619549492,225.86631969962286,22.463264875530825,19.88731565692005,97.63804065043335
14,2693.2564142053084,100,844.6431371090448,662.8439198725832,689.0369007839566,11.0,0.07274526241362046,0.1398383509141975,181.79921723646157,155.60623632508816,21.523790255220057,18.422719547296712,98.7287422644164
15,2366.522481322228,89,669.0969815040603,591.987116500236,611.2007451284223,11.0,0.3247452398580312,0.19540791402051783,77.10986500382432,57.896236375637955,11.524467623585654,8.652891580155279,98.22356441799529
16,3021.416188057607,99,972.9127407288184,787.9955824221934,789.2015537146403,11.0,0.5555555555555556,0.28018615980374756,184.91715830662508,183.7111870141781,19.00655121117047,18.882596488206975,97.4528530926932
17,2524.1348021435083,90,827.7148029319179,661.5198831616599,659.8291304480637,11.0,0.21649688702945624,0.2571973701212438,166.19491977025802,167.88567248385425,20.07876616215695,20.28303370788735,97.66184208980687
18,2911.501250594852,92,860.319522533039,775.1186524726045,771.5483356574038,11.0,0.7477966144578706,0.2983223062381853,85.20087006043457,88.7711868756353,9.903398426851645,10.318397357096613,97.28797903419832
19,2968.2854484173495,132,970.195092572428,729.8130875808282,770.8085440006362,11.0,0.6018363881164255,0.13370397704923181,240.38200499159984,199.38654857179188,24.77666675825353,20.551180901474932,98.78450929955244
20,3404.023740111977,88,1082.05519731028,897.4977767333129,910.3309109196765,11.0,0.705585176774158,0.8458294444574072,184.55742057696705,171.72428639060342,17.05619279272729,15.870196531329203,92.31064141402358
21,2825.2156485598757,81,831.0917880866945,740.5309970280997,734.5959376059275,11.0,0.33224913496747505,0.39771358847730454,90.56079105859476,96.49585048076699,10.89660520735984,11.610733238372598,96.3844219229336
22,3737.2386786377906,120,1153.3526042100075,985.1483590289554,1002.8708661871804,11.0,0.5009233146004486,0.33191717079089605,168.2042451810521,150.48173802282713,14.58393942728938,13.047331533611967,96.98257117462822
23,3319.9702291472786,100,977.3601160249932,873.7239768534344,880.04295817874,11.0,0.55,0.2951022237276693,103.63613917155885,97.31715784625317,10.603680002111796,9.957144378067149,97.31725251156664
24,3274.0442581967864,113,899.2453731109949,860.4454161174017,867.8115715792991,0.0,0.0,0.0,38.79995699359324,31.43380153169585,4.314724117997115,3.4955755649816322,
