car,kwh,is_dc,stored_kwh,self_cons_value,arbitrage_value,backup,gross,capex_yr,net_vs_nothing,net_adv_vs_battery
Hyundai Ioniq 5/6,77.4,True,1887.7445739038353,622.9557093882656,0.0,0.0,622.9557093882656,981.14582978138,-358.1901203931144,-308.1901203931144
Hyundai Ioniq 5/6,77.4,True,2856.1043482084524,942.5144349087893,0.0,31.35065971304648,973.8650946218359,792.448682257246,181.41641236458986,231.41641236458986
Hyundai Ioniq 5/6,77.4,True,1926.0619092766633,635.6004300612989,661.7033632039414,18.098322183733696,1315.402115448974,896.9746322275638,418.42748322141017,468.42748322141017
Kia EV9,99.8,True,1355.4221012554306,447.2892934142921,557.1480034761107,10.994278917154476,1015.4315758075574,874.7506531826923,140.68092262486505,190.68092262486505
Kia EV6 (post-24),77.4,True,2080.0505997624314,686.4166979216023,0.0,4.695198629056158,691.1118965506585,884.6474488409916,-193.53555229033316,-143.53555229033316
VW ID.7 (77 kWh),77.0,True,1915.6941532848846,632.1790705840119,655.1208574733023,20.920034442189674,1308.219962499504,863.2655080497692,444.9544544497347,494.9544544497347
Kia EV6 (post-24),77.4,True,1619.4422371649084,534.4159382644198,1125.0121095615755,35.2945195788256,1694.722567404821,891.4322640358263,803.2903033689946,853.2903033689946
Kia EV6 (post-24),77.4,True,0.0,0.0,775.1328973508885,22.887647104088614,798.0205444549771,924.5127028956249,-126.49215844064781,-76.49215844064781
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,0.0,14.910603460297164,14.910603460297164,947.5663785370474,-932.6557750767503,-882.6557750767503
Kia EV9,99.8,True,2610.9953519994656,861.6284661598237,0.0,27.18232191660938,888.810788076433,914.8675778109657,-26.056789734532686,23.943210265467314
Hyundai Ioniq 5/6,77.4,True,2522.6559337445333,832.476458135696,1099.735933422189,38.32535751638321,1970.5377490742683,769.2261560359987,1201.3115930382696,1251.3115930382696
VW ID.7 (77 kWh),77.0,True,1722.0647397742061,568.281364125488,1321.9086348293488,9.800508753225703,1899.9905077080628,847.4264973825844,1052.5640103254782,1102.5640103254782
Hyundai Ioniq 5/6,77.4,True,2577.871270566843,850.6975192870583,0.0,38.41690853946031,889.1144278265186,764.0,125.11442782651864,175.11442782651864
Kia EV9,99.8,True,1151.0073420969175,379.8324228919828,0.0,5.52600614765206,385.35842903963487,879.4389471419702,-494.0805181023353,-444.0805181023353
VW ID.7 (77 kWh),77.0,True,2697.0701392121327,890.0331459400038,410.1684630601201,28.477359849244504,1328.6789688493684,945.3738274101563,383.3051414392121,433.3051414392121
Kia EV9,99.8,True,1456.9953360459804,480.80846089517354,0.0,9.756991907476799,490.5654528026503,793.533694951919,-302.96824214926863,-252.96824214926863
Hyundai Ioniq 5/6,77.4,True,1636.4014513592579,540.0124789485551,0.0,12.495635104678474,552.5081140532336,882.1592967392565,-329.65118268602293,-279.65118268602293
Kia EV9,99.8,True,2112.6848467599857,697.1859994307953,329.5491599762331,17.829402072509207,1044.5645614795376,859.7713911593934,184.7931703201442,234.7931703201442
Renault 5 E-Tech,52.0,False,2043.169239117668,674.2458489088305,504.07968233279763,32.08913454979696,1210.414665791425,561.545408722343,648.869257069082,698.869257069082
Renault 5 E-Tech,52.0,False,1291.9810261479545,426.353738628825,0.0,29.94795515725547,456.3016937860805,670.9944800392126,-214.6927862531321,-164.6927862531321
VW ID.7 (77 kWh),77.0,True,2344.23686501348,773.5981654544485,325.80507715809676,40.187219916715755,1139.590462529261,855.0905498511395,284.4999126781215,334.4999126781215
VW ID.7 (77 kWh),77.0,True,1186.1675678218978,391.4352973812263,693.3086000086237,11.439226724590501,1096.1831241144405,912.8526030838539,183.33052103058662,233.33052103058662
Renault 5 E-Tech,52.0,False,1280.6882959211475,422.6271376539787,0.0,20.598671839126077,443.2258094931048,546.4429969330059,-103.21718743990112,-53.217187439901124
Nissan Leaf (new),52.0,True,1546.1317853554701,510.22348916730516,257.5511816173684,21.672190773903488,789.4468615585771,860.4428055058291,-70.99594394725204,-20.995943947252044
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,521.8058879599828,32.97061571994656,554.7765036799293,858.0553524606978,-303.2788487807685,-253.2788487807685
