driver,annual_kWh,sessions,cost_unc,cost_po,cost_smart,peak_unc,peak_po,peak_smart,savings_po_eur,savings_smart_eur,savings_po_pct,savings_smart_pct,peak_drop_smart_pct
98,2597.8121405436127,140,800.550193869357,778.9377042846637,797.9338733261601,0.0,0.0,0.0,21.61248958469332,2.6163205431969345,2.6997044970075037,0.32681530317934016,
100,2971.99265907694,85,907.9323544533804,755.1298437525722,776.5253051596573,11.0,1.600177219381799,0.9107027640462642,152.80251070080817,131.40704929372316,16.82972414754431,14.473220240381963,91.72088396321578
101,2971.4898702292844,156,916.1463262193506,744.6558451156016,764.541360546501,11.0,0.0,0.22819119286510586,171.49048110374906,151.60496567284963,18.718678031645517,16.548116969313835,97.92553461031723
102,2744.880763850509,93,872.3541682854072,693.285392493543,707.9349484224953,11.0,1.0840167044324156,0.336021505376344,179.06877579186425,164.41921986291197,20.52707286810126,18.84775998561161,96.94525904203324
103,3626.5571577212017,79,1035.4183146043456,915.0781350995767,955.1539121919895,11.0,1.8101265822784811,2.4456521739130412,120.34017950476891,80.26440241235605,11.622373084133956,7.751881657900431,77.76679841897234
104,2926.5776089162437,84,891.3347734196728,745.9866146434917,753.6602639370635,11.0,0.9425845602921056,0.77639751552795,145.3481587761811,137.67450948260932,16.30679774991185,15.44588111988616,92.94184076792773
105,3276.136540071253,113,1039.9933115586555,817.5805609082191,847.0850236244746,11.0,0.7708625441856483,0.30773719470654576,222.41275065043635,192.90828793418086,21.385978946066743,18.54899313199101,97.2023891390314
106,2566.3650521175414,86,775.9783835858291,638.9932776784245,659.5440160341586,11.0,2.190908993991788,0.2970171890798786,136.98510590740455,116.43436755167045,17.653211584888556,15.00484678627545,97.29984373563747
107,2530.402336059976,144,830.5499248784749,636.5416619213592,642.3608988290274,11.0,0.0763888888888889,0.30193236714975835,194.0082629571158,188.18902604944753,23.359012763200578,22.65836410460011,97.25516029863857
108,2640.7530122745216,118,796.0676017598157,666.1421692132781,662.7911973482961,11.0,0.3349987828855763,0.34090388385935466,129.92543254653765,133.2764044115196,16.320904438180854,16.741845053974558,96.90087378309677
109,3094.8179448896926,103,979.3856087101975,791.0201560754954,798.3032373580157,11.0,1.1383974018969347,0.42739552553820165,188.36545263470214,181.08237135218178,19.23302231107624,18.489384542893,96.11458613147089
110,2595.6358433723567,78,707.0157554489712,656.6655282418495,669.2237492593374,0.0,0.0,0.0,50.350227207121634,37.79200618963375,7.121514169814799,5.345284867893073,
111,2469.8890232169665,115,693.24257088826,622.8627349236938,628.7384532662608,11.0,0.14033601369307105,0.23994781919000843,70.37983596456627,64.50411762199928,10.152266886089777,9.30469655655298,97.81865618918174
112,2695.018654770755,89,803.1765303549558,684.8496481316572,680.5540560017938,11.0,1.227283540854085,0.3419638495359061,118.32688222329864,122.62247435316203,14.732363029956225,15.267188434772896,96.89123773149177
113,3208.2813892522863,155,928.6582192583734,798.2899077104873,826.2297800218174,11.0,0.19982197016428316,0.23033498474220052,130.36831154788604,102.42843923655596,14.038352199369776,11.02972408065858,97.90604559325273
114,2732.7141844846374,100,841.239697728916,684.3840928474262,714.390645264518,11.0,1.1884781068244474,0.3315217391304347,156.85560488148974,126.84905246439803,18.645768299445546,15.07882388418554,96.98616600790514
115,2961.4913147118864,115,907.8900820943379,741.3524369869084,756.6556063656362,11.0,1.0163457225253891,0.3284499054820415,166.5376451074295,151.23447572870168,18.34337089829832,16.657795774113,97.01409176834508
116,2905.0504436334268,79,946.6533188362476,750.6087047011922,746.7650721683189,11.0,2.353307254777363,1.3105393505778766,196.04461413505544,199.8882466679288,20.709230109292765,21.11525335522597,88.08600590383749
117,3289.944045759681,88,901.0177498389261,838.2174190701118,876.2708024771919,11.0,2.1074616421574293,1.902173913043478,62.80033076881432,24.746947361734215,6.969932698888679,2.7465549226037114,82.70750988142292
118,2638.7035183011617,94,718.0338413260412,662.2305113323123,689.4177824225312,11.0,1.086676321620783,0.3642460684551341,55.80332999372888,28.616058903509952,7.771685230138058,3.9853356842711984,96.68867210495333
119,3237.800239131285,82,872.389980211987,821.3998270304995,854.0053053144195,0.0,0.0,0.0,50.99015318148747,18.384674897567493,5.844880654073662,2.107391798917738,
120,3047.2426997648035,135,849.615008759373,759.4250266909929,773.7373296408806,11.0,0.3379953835370944,0.27576489533011267,90.18998206838012,75.87767911849244,10.61539416542059,8.930830827634594,97.49304640608989
122,2542.6198331968867,155,783.8186450573606,622.2576162463413,647.8544081531159,11.0,0.2129032258064516,0.19920045535702913,161.56102881101936,135.96423690424479,20.61204206225487,17.34638972441065,98.18908676948155
124,2289.9538654215025,140,732.3543213791174,564.5220539977433,577.175839098297,11.0,0.07857142857142857,0.34937888198757755,167.8322673813741,155.1784822808204,22.9168125976678,21.188989775959723,96.82382834556748
125,2874.385229793928,117,881.984898078977,729.4389989859613,740.3013570093835,11.0,0.5628347433130207,0.35999628390932725,152.5458990930157,141.6835410695935,17.29574955594716,16.064168601774234,96.72730650991521
126,2656.470187105376,81,790.9536615883006,663.1541798473586,696.8459349389336,11.0,1.254910470153903,0.7179280730005366,127.79948174094204,94.10772664936701,16.15764461906783,11.898007584969122,93.47338115454058
127,2540.572985452858,85,799.1457552707305,640.3224306242498,662.8347631663777,11.0,1.2399212981910221,0.4092071611253196,158.82332464648073,136.31099210435286,19.87413730210897,17.057087672094827,96.27993489886073
128,2474.9581987051147,121,777.108094575741,619.0141595920862,634.4965597637063,11.0,0.12169600996025409,0.3529644259161399,158.09393498365478,142.61153481203473,20.343879582153306,18.351569853341047,96.79123249167145
129,3255.4899702557373,111,1030.941451294349,816.6140017215591,837.0356517011047,11.0,1.256106542499425,0.3280454367410888,214.32744957278987,193.9057995932443,20.789488026085415,18.80861414096748,97.01776875689919
130,2734.6459884109195,78,847.6017702092989,688.5679338771046,709.5448633435242,11.0,1.1282051282051282,0.8256688963210695,159.03383633219437,138.05690686577475,18.762801343952365,16.287944612442733,92.49391912435392
131,3346.1919100981827,151,1031.3065010721505,850.8958098318216,849.7010616631572,11.0,0.22115880508534727,0.308605523150552,180.4106912403289,181.60543940899322,17.49341161456591,17.609259635248634,97.19449524408589
132,2691.6538818279178,135,718.4291631653156,681.1387201400058,687.58933947629,0.0,0.0,0.0,37.29044302530974,30.839823689025593,5.19055251891674,4.292674249629415,
133,2803.7640312133835,117,865.35121037038,710.5005995296317,717.7049703724149,11.0,0.3361814006877693,0.30058696167134624,154.85061084074835,147.64623999796515,17.894539117183477,17.062001904957285,97.26739125753322
